target_id	length	eff_length	est_counts	tpm
JGI_V11_PST130_P500928	5346	5162.12	16	1.42381
JGI_V11_PST130_P503541	219	55.6233	67	553.321
JGI_V11_PST130_P498510	1161	977.121	2	0.940245
JGI_V11_PST130_P503165	1641	1457.12	11	3.46782
JGI_V11_PST130_P496996	447	263.385	0	0
JGI_V11_PST130_P502966	2937	2753.12	5	0.834265
JGI_V11_PST130_P498074	2010	1826.12	25	6.28883
JGI_V11_PST130_P501125	3144	2960.12	10	1.55185
JGI_V11_PST130_P503365	279	101.305	0	0
JGI_V11_PST130_P488246	2262	2078.12	0	0
JGI_V11_PST130_P489680	447	263.385	148	258.125
JGI_V11_PST130_P491731	702	518.17	2	1.77303
JGI_V11_PST130_P489797	1905	1721.12	1	0.2669
JGI_V11_PST130_P488272	1746	1562.12	40	11.7626
JGI_V11_PST130_P490013	300	120.058	19	72.6982
JGI_V11_PST130_P491856	342	159.688	0	0
JGI_V11_PST130_P492558	207	48.2595	0	0
JGI_V11_PST130_P502991	510	326.233	3	4.22429
JGI_V11_PST130_P492967	462	278.338	0	0
JGI_V11_PST130_P488313	279	101.305	15	68.0173
JGI_V11_PST130_P491144	432	248.428	0	0
JGI_V11_PST130_P500947	804	620.121	0	0
JGI_V11_PST130_P493370	399	215.765	270	574.833
JGI_V11_PST130_P499615	1506	1322.12	1	0.347447
JGI_V11_PST130_P503304	537	353.203	30	39.0172
JGI_V11_PST130_P494788	231	63.9252	0	0
JGI_V11_PST130_P504103	906	722.121	31	19.7202
JGI_V11_PST130_P495319	2436	2252.12	9	1.83574
JGI_V11_PST130_P497124	294	114.674	0	0
JGI_V11_PST130_P491965	375	191.943	0	0
JGI_V11_PST130_P488308	666	482.17	411	391.562
JGI_V11_PST130_P491674	2043	1859.12	0	0
JGI_V11_PST130_P494706	576	392.17	0	0
JGI_V11_PST130_P488584	480	296.312	8	12.4022
JGI_V11_PST130_P493395	1491	1307.12	2	0.702868
JGI_V11_PST130_P490089	1782	1598.12	30	8.62325
JGI_V11_PST130_P500912	1266	1082.12	0	0
JGI_V11_PST130_P502633	1185	1001.12	6	2.75311
JGI_V11_PST130_P500952	318	136.924	0	0
JGI_V11_PST130_P488977	648	464.17	0	0
JGI_V11_PST130_P488868	2169	1985.12	2	0.46281
JGI_V11_PST130_P488493	210	50.0981	0	0
JGI_V11_PST130_P487031	843	659.121	0	0
JGI_V11_PST130_P496079	1158	974.121	2	0.943141
JGI_V11_PST130_P491196	333	151.07	0	0
JGI_V11_PST130_P497923	675	491.17	0	0
JGI_V11_PST130_P488821	633	449.17	0	0
JGI_V11_PST130_P489426	870	686.121	24	16.0683
JGI_V11_PST130_P496630	747	563.17	3	2.44704
JGI_V11_PST130_P491775	861	677.121	7	4.74888
JGI_V11_PST130_P501425	2817	2633.12	0	0
JGI_V11_PST130_P490238	474	290.338	0	0
JGI_V11_PST130_P490063	393	209.802	9	19.7057
JGI_V11_PST130_P503040	1023	839.121	10	5.47438
JGI_V11_PST130_P493931	288	109.173	0	0
JGI_V11_PST130_P501267	279	101.305	50	226.724
JGI_V11_PST130_P498821	1794	1610.12	0	0
JGI_V11_PST130_P490212	504	320.233	0	0
JGI_V11_PST130_P489902	1302	1118.12	0	0
JGI_V11_PST130_P496900	741	557.17	0	0
JGI_V11_PST130_P494460	1602	1418.12	0	0
JGI_V11_PST130_P487409	459	275.338	0	0
JGI_V11_PST130_P498777	384	200.908	0	0
JGI_V11_PST130_P502392	1503	1319.12	0	0
JGI_V11_PST130_P497532	306	125.579	0	0
JGI_V11_PST130_P487727	654	470.17	47	45.9201
JGI_V11_PST130_P488299	1011	827.121	0	0
JGI_V11_PST130_P491334	240	70.185	0	0
JGI_V11_PST130_P497313	642	458.17	4	4.01045
JGI_V11_PST130_P489001	1788	1604.12	0	0
JGI_V11_PST130_P504390	1446	1262.12	0	0
JGI_V11_PST130_P500016	1002	818.121	23	12.9143
JGI_V11_PST130_P493008	1122	938.121	74	36.2353
JGI_V11_PST130_P494101	1206	1022.12	43	19.3253
JGI_V11_PST130_P501742	1038	854.121	3	1.61347
JGI_V11_PST130_P496689	801	617.121	36	26.7973
JGI_V11_PST130_P502088	1269	1085.12	41	17.3566
JGI_V11_PST130_P492731	681	497.17	92	85.0046
JGI_V11_PST130_P501567	762	578.121	294	233.608
JGI_V11_PST130_P504570	1290	1106.12	8	3.32236
JGI_V11_PST130_P487885	1113	929.121	4	1.97764
JGI_V11_PST130_P494206	534	350.203	0	0
JGI_V11_PST130_P501964	639	455.17	1189	1199.96
JGI_V11_PST130_P486792	2010	1826.12	0	0
JGI_V11_PST130_P489455	480	296.312	0	0
JGI_V11_PST130_P494973	1035	851.121	3	1.61916
JGI_V11_PST130_P493976	936	752.121	0	0
JGI_V11_PST130_P502017	276	98.7042	0	0
JGI_V11_PST130_P500300	1596	1412.12	20	6.50605
JGI_V11_PST130_P494435	477	293.312	0	0
JGI_V11_PST130_P491202	369	186.091	5	12.3426
JGI_V11_PST130_P500412	1203	1019.12	4	1.80299
JGI_V11_PST130_P497467	420	236.47	0	0
JGI_V11_PST130_P503043	831	647.121	0	0
JGI_V11_PST130_P492782	849	665.121	1	0.690651
JGI_V11_PST130_P498610	1911	1727.12	3	0.797918
JGI_V11_PST130_P493455	2637	2453.12	0	0
JGI_V11_PST130_P487534	699	515.17	0	0
JGI_V11_PST130_P498631	264	88.7521	0	0
JGI_V11_PST130_P490339	294	114.674	0	0
JGI_V11_PST130_P496873	840	656.121	0	0
JGI_V11_PST130_P487910	354	171.355	0	0
JGI_V11_PST130_P487503	1722	1538.12	14	4.18116
JGI_V11_PST130_P494070	201	44.7101	3	30.823
JGI_V11_PST130_P493585	1413	1229.12	1491	557.24
JGI_V11_PST130_P488392	516	332.233	46	63.6026
JGI_V11_PST130_P498851	870	686.121	0	0
JGI_V11_PST130_P492829	117	19.4314	0	0
JGI_V11_PST130_P493271	777	593.121	0	0
JGI_V11_PST130_P495613	774	590.121	0	0
JGI_V11_PST130_P493484	378	194.943	0	0
JGI_V11_PST130_P495946	4101	3917.12	9	1.05544
JGI_V11_PST130_P497574	2142	1958.12	0	0
JGI_V11_PST130_P491983	657	473.17	0	0
JGI_V11_PST130_P496195	267	91.2113	0	0
JGI_V11_PST130_P504054	1005	821.121	1	0.559439
JGI_V11_PST130_P490755	2886	2702.12	46	7.82011
JGI_V11_PST130_P501765	1053	869.121	0	0
JGI_V11_PST130_P501061	633	449.17	8	8.18161
JGI_V11_PST130_P489801	1974	1790.12	12	3.07935
JGI_V11_PST130_P497974	1311	1127.12	8	3.26046
JGI_V11_PST130_P488004	204	46.3729	0	0
JGI_V11_PST130_P490864	735	551.17	0	0
JGI_V11_PST130_P492191	372	189.025	22	53.4641
JGI_V11_PST130_P495805	450	266.385	0	0
JGI_V11_PST130_P488337	399	215.765	6	12.7741
JGI_V11_PST130_P490295	375	191.943	0	0
JGI_V11_PST130_P496430	1320	1136.12	0	0
JGI_V11_PST130_P495878	999	815.121	0	0
JGI_V11_PST130_P499320	3465	3281.12	6	0.840018
JGI_V11_PST130_P496905	825	641.121	54	38.6913
JGI_V11_PST130_P492598	741	557.17	0	0
JGI_V11_PST130_P497826	1191	1007.12	10	4.56119
JGI_V11_PST130_P497736	1356	1172.12	0	0
JGI_V11_PST130_P500991	933	749.121	1	0.613208
JGI_V11_PST130_P503923	459	275.338	0	0
JGI_V11_PST130_P494286	510	326.233	0	0
JGI_V11_PST130_P490282	213	51.8986	0	0
JGI_V11_PST130_P500155	321	139.766	3	9.86006
JGI_V11_PST130_P499954	180	33.9293	0	0
JGI_V11_PST130_P487501	303	122.854	0	0
JGI_V11_PST130_P490087	708	524.17	0	0
JGI_V11_PST130_P493517	588	404.17	0	0
JGI_V11_PST130_P499482	1473	1289.12	1	0.356341
JGI_V11_PST130_P501790	510	326.233	74	104.199
JGI_V11_PST130_P490816	1440	1256.12	52	19.0165
JGI_V11_PST130_P495037	294	114.674	0	0
JGI_V11_PST130_P503937	666	482.17	2	1.90541
JGI_V11_PST130_P492483	975	791.121	1	0.580653
JGI_V11_PST130_P499995	252	79.0833	4	23.2346
JGI_V11_PST130_P501418	228	61.8795	0	0
JGI_V11_PST130_P490694	273	96.2003	0	0
JGI_V11_PST130_P503187	969	785.121	0	0
JGI_V11_PST130_P488425	1788	1604.12	50	14.3183
JGI_V11_PST130_P488577	1020	836.121	1	0.549402
JGI_V11_PST130_P488373	831	647.121	0	0
JGI_V11_PST130_P493420	528	344.203	68	90.7515
JGI_V11_PST130_P501922	645	461.17	101	100.605
JGI_V11_PST130_P488108	540	356.203	0	0
JGI_V11_PST130_P498955	1197	1013.12	21	9.52177
JGI_V11_PST130_P494961	324	142.567	0	0
JGI_V11_PST130_P503274	549	365.203	14	17.6098
JGI_V11_PST130_P493657	270	93.7027	0	0
JGI_V11_PST130_P498071	2532	2348.12	5	0.978158
JGI_V11_PST130_P486917	567	383.17	0	0
JGI_V11_PST130_P491112	840	656.121	0	0
JGI_V11_PST130_P488279	639	455.17	0	0
JGI_V11_PST130_P491657	624	440.17	0	0
JGI_V11_PST130_P500174	1905	1721.12	19	5.0711
JGI_V11_PST130_P499216	744	560.17	9	7.38044
JGI_V11_PST130_P492935	492	308.259	2	2.98039
JGI_V11_PST130_P497213	279	101.305	0	0
JGI_V11_PST130_P502799	870	686.121	20	13.3903
JGI_V11_PST130_P497805	1563	1379.12	0	0
JGI_V11_PST130_P503162	276	98.7042	0	0
JGI_V11_PST130_P491332	309	128.389	0	0
JGI_V11_PST130_P493716	366	183.139	0	0
JGI_V11_PST130_P503811	753	569.121	0	0
JGI_V11_PST130_P494055	186	36.9381	0	0
JGI_V11_PST130_P494959	222	57.5997	0	0
JGI_V11_PST130_P494283	225	59.7521	2	15.3757
JGI_V11_PST130_P504030	210	50.0981	291	2668.28
JGI_V11_PST130_P499646	243	72.3759	0	0
JGI_V11_PST130_P490856	831	647.121	22	15.617
JGI_V11_PST130_P496405	300	120.058	0	0
JGI_V11_PST130_P496568	591	407.17	17	19.1793
JGI_V11_PST130_P502466	3273	3089.12	10	1.48705
JGI_V11_PST130_P487970	2127	1943.12	42	9.92908
JGI_V11_PST130_P501055	351	168.488	4	10.9056
JGI_V11_PST130_P489314	282	103.917	5.48825	24.261
JGI_V11_PST130_P496994	312	131.183	0	0
JGI_V11_PST130_P503022	3606	3422.12	7	0.939642
JGI_V11_PST130_P488528	666	482.17	0	0
JGI_V11_PST130_P495001	438	254.385	199	359.353
JGI_V11_PST130_P496402	576	392.17	0	0
JGI_V11_PST130_P490741	954	770.121	1	0.596487
JGI_V11_PST130_P497459	837	653.121	13	9.14343
JGI_V11_PST130_P503353	753	569.121	0	0
JGI_V11_PST130_P495825	405	221.708	4	8.28776
JGI_V11_PST130_P499309	2112	1928.12	10	2.38246
JGI_V11_PST130_P498272	1458	1274.12	3	1.08161
JGI_V11_PST130_P491054	663	479.17	0	0
JGI_V11_PST130_P499174	1221	1037.12	12	5.3151
JGI_V11_PST130_P504617	951	767.121	69	41.3185
JGI_V11_PST130_P504318	1017	833.121	0	0
JGI_V11_PST130_P502332	3492	3308.12	16	2.22177
JGI_V11_PST130_P504051	696	512.17	0	0
JGI_V11_PST130_P495014	477	293.312	2	3.13227
JGI_V11_PST130_P487484	999	815.121	4	2.25423
JGI_V11_PST130_P498299	543	359.203	40	51.154
JGI_V11_PST130_P488763	408	224.651	0	0
JGI_V11_PST130_P486654	744	560.17	6	4.92029
JGI_V11_PST130_P492592	630	446.17	0	0
JGI_V11_PST130_P489391	315	134.031	9	30.8458
JGI_V11_PST130_P494921	1743	1559.12	2	0.589264
JGI_V11_PST130_P503328	1191	1007.12	8	3.64895
JGI_V11_PST130_P491904	393	209.802	0	0
JGI_V11_PST130_P498420	318	136.924	3	10.0647
JGI_V11_PST130_P499685	918	734.121	106	66.3281
JGI_V11_PST130_P502980	321	139.766	0	0
JGI_V11_PST130_P487811	1530	1346.12	0	0
JGI_V11_PST130_P495797	255	81.519	0	0
JGI_V11_PST130_P489418	228	61.8795	0	0
JGI_V11_PST130_P498926	474	290.338	0	0
JGI_V11_PST130_P501384	1050	866.121	9	4.77335
JGI_V11_PST130_P501252	750	566.17	4	3.24543
JGI_V11_PST130_P499166	1830	1646.12	5	1.3953
JGI_V11_PST130_P489573	2040	1856.12	22	5.44473
JGI_V11_PST130_P488418	252	79.0833	13	75.5124
JGI_V11_PST130_P492494	1971	1787.12	47	12.081
JGI_V11_PST130_P494746	621	437.17	1311	1377.56
JGI_V11_PST130_P500964	1380	1196.12	0	0
JGI_V11_PST130_P492927	1122	938.121	18	8.814
JGI_V11_PST130_P492135	213	51.8986	0	0
JGI_V11_PST130_P501183	240	70.185	0	0
JGI_V11_PST130_P503237	867	683.121	28	18.8287
JGI_V11_PST130_P487564	426	242.449	0	0
JGI_V11_PST130_P499426	2115	1931.12	30	7.13627
JGI_V11_PST130_P494766	2925	2741.12	5	0.837918
JGI_V11_PST130_P500847	1998	1814.12	72	18.2316
JGI_V11_PST130_P504293	240	70.185	25	163.627
JGI_V11_PST130_P500395	1968	1784.12	4	1.0299
JGI_V11_PST130_P492350	807	623.121	11	8.10924
JGI_V11_PST130_P500023	1149	965.121	0	0
JGI_V11_PST130_P494506	402	218.728	0	0
JGI_V11_PST130_P491735	372	189.025	0	0
JGI_V11_PST130_P496281	1194	1010.12	41	18.6453
JGI_V11_PST130_P487366	1620	1436.12	128	40.9429
JGI_V11_PST130_P488690	1674	1490.12	29	8.93997
JGI_V11_PST130_P495244	303	122.854	4	14.9565
JGI_V11_PST130_P492500	366	183.139	39	97.8237
JGI_V11_PST130_P503928	663	479.17	8	7.66937
JGI_V11_PST130_P495509	1191	1007.12	0	0
JGI_V11_PST130_P499313	879	695.121	13	8.59098
JGI_V11_PST130_P488488	618	434.17	0	0
JGI_V11_PST130_P490253	903	719.121	2	1.27758
JGI_V11_PST130_P499811	630	446.17	0	0
JGI_V11_PST130_P499821	786	602.121	36	27.4649
JGI_V11_PST130_P499035	723	539.17	5	4.25994
JGI_V11_PST130_P495821	186	36.9381	0	0
JGI_V11_PST130_P498892	1536	1352.12	46	15.6279
JGI_V11_PST130_P497450	213	51.8986	0	0
JGI_V11_PST130_P502143	579	395.17	0	0
JGI_V11_PST130_P492511	783	599.121	71	54.4382
JGI_V11_PST130_P490080	924	740.121	8	4.96532
JGI_V11_PST130_P497394	699	515.17	0	0
JGI_V11_PST130_P502263	216	53.8136	0	0
JGI_V11_PST130_P490962	405	221.708	0	0
JGI_V11_PST130_P503201	1404	1220.12	44	16.5657
JGI_V11_PST130_P493196	1023	839.121	0	0
JGI_V11_PST130_P502221	600	416.17	0	0
JGI_V11_PST130_P494323	366	183.139	2	5.0166
JGI_V11_PST130_P498167	1392	1208.12	11	4.18256
JGI_V11_PST130_P486685	777	593.121	11	8.5194
JGI_V11_PST130_P492358	663	479.17	0	0
JGI_V11_PST130_P496149	468	284.338	0	0
JGI_V11_PST130_P487573	624	440.17	7	7.30528
JGI_V11_PST130_P486837	1116	932.121	9	4.43537
JGI_V11_PST130_P487261	606	422.17	405	440.684
JGI_V11_PST130_P502563	936	752.121	12	7.32914
JGI_V11_PST130_P501173	225	59.7521	0	0
JGI_V11_PST130_P493966	1164	980.121	0	0
JGI_V11_PST130_P501424	312	131.183	41	143.571
JGI_V11_PST130_P501539	798	614.121	0	0
JGI_V11_PST130_P499328	909	725.121	7	4.43453
JGI_V11_PST130_P500173	1755	1571.12	10	2.92382
JGI_V11_PST130_P488707	456	272.361	0	0
JGI_V11_PST130_P494277	225	59.7521	3	23.0636
JGI_V11_PST130_P502448	294	114.674	11	44.0645
JGI_V11_PST130_P494554	615	431.17	145	154.482
JGI_V11_PST130_P502596	798	614.121	418	312.667
JGI_V11_PST130_P491571	180	33.9293	0	0
JGI_V11_PST130_P495655	942	758.121	9	5.45335
JGI_V11_PST130_P497050	687	503.17	0	0
JGI_V11_PST130_P494801	195	41.6376	0	0
JGI_V11_PST130_P498801	888	704.121	5	3.26199
JGI_V11_PST130_P496827	180	33.9293	11	148.928
JGI_V11_PST130_P489496	2145	1961.12	3	0.70271
JGI_V11_PST130_P499753	333	151.07	36	109.467
JGI_V11_PST130_P488900	678	494.17	8	7.43658
JGI_V11_PST130_P490189	1923	1739.12	6	1.58482
JGI_V11_PST130_P495879	231	63.9252	21	150.906
JGI_V11_PST130_P499155	945	761.121	215	129.761
JGI_V11_PST130_P489975	198	43.0879	0	0
JGI_V11_PST130_P501324	1542	1358.12	7	2.36766
JGI_V11_PST130_P497431	207	48.2595	0	0
JGI_V11_PST130_P499053	1422	1238.12	130	48.2325
JGI_V11_PST130_P493155	2700	2516.12	0	0
JGI_V11_PST130_P487646	1425	1241.12	152	56.2586
JGI_V11_PST130_P492444	423	239.449	0	0
JGI_V11_PST130_P503273	225	59.7521	10	76.8787
JGI_V11_PST130_P499444	732	548.17	25	20.95
JGI_V11_PST130_P492605	1689	1505.12	38	11.5977
JGI_V11_PST130_P495858	1389	1205.12	17	6.48004
JGI_V11_PST130_P499617	3432	3248.12	19	2.68708
JGI_V11_PST130_P504554	339	156.882	0	0
JGI_V11_PST130_P496457	855	671.121	0	0
JGI_V11_PST130_P491752	1416	1232.12	9	3.35543
JGI_V11_PST130_P502800	408	224.651	2	4.08961
JGI_V11_PST130_P492821	1794	1610.12	23	6.56189
JGI_V11_PST130_P487233	1260	1076.12	9	3.84186
JGI_V11_PST130_P489912	1380	1196.12	0	0
JGI_V11_PST130_P499598	1137	953.121	53	25.5439
JGI_V11_PST130_P501049	1137	953.121	3	1.44588
JGI_V11_PST130_P494687	615	431.17	0	0
JGI_V11_PST130_P501376	1515	1331.12	3	1.03529
JGI_V11_PST130_P496069	234	66.0076	3	20.8779
JGI_V11_PST130_P503102	4041	3857.12	8	0.952766
JGI_V11_PST130_P494770	960	776.121	0	0
JGI_V11_PST130_P493251	432	248.428	4	7.39637
JGI_V11_PST130_P498696	441	257.385	0	0
JGI_V11_PST130_P494219	600	416.17	3	3.31139
JGI_V11_PST130_P488258	2595	2411.12	0	0
JGI_V11_PST130_P490248	240	70.185	0	0
JGI_V11_PST130_P497296	735	551.17	27	22.5029
JGI_V11_PST130_P488047	96	27.9497	0	0
JGI_V11_PST130_P492569	453	269.385	0	0
JGI_V11_PST130_P504432	474	290.338	239	378.141
JGI_V11_PST130_P498081	633	449.17	4	4.0908
JGI_V11_PST130_P492528	237	68.1385	0	0
JGI_V11_PST130_P497744	1188	1004.12	131	59.9301
JGI_V11_PST130_P504471	666	482.17	29	27.6285
JGI_V11_PST130_P500064	654	470.17	22	21.4945
JGI_V11_PST130_P504013	783	599.121	0	0
JGI_V11_PST130_P504105	1548	1364.12	4	1.347
JGI_V11_PST130_P492674	399	215.765	0	0
