target_id	length	eff_length	est_counts	tpm
JGI_V11_PST130_P500928	5346	5176.77	223	3.1714
JGI_V11_PST130_P503541	219	70.5769	45	46.9412
JGI_V11_PST130_P498510	1161	991.768	1	0.0742326
JGI_V11_PST130_P503165	1641	1471.77	343	17.1577
JGI_V11_PST130_P496996	447	278.496	0	0
JGI_V11_PST130_P502966	2937	2767.77	47	1.25018
JGI_V11_PST130_P498074	2010	1840.77	350	13.9982
JGI_V11_PST130_P501125	3144	2974.77	93	2.30163
JGI_V11_PST130_P503365	279	118.171	0	0
JGI_V11_PST130_P488246	2262	2092.77	1.00342	0.0352994
JGI_V11_PST130_P489680	447	278.496	1114	294.49
JGI_V11_PST130_P491731	702	532.798	16	2.21086
JGI_V11_PST130_P489797	1905	1735.77	262	11.1126
JGI_V11_PST130_P488272	1746	1576.77	793	37.0263
JGI_V11_PST130_P490013	300	136.649	239	128.764
JGI_V11_PST130_P491856	342	175.689	0	0
JGI_V11_PST130_P492558	207	62.2819	0	0
JGI_V11_PST130_P502991	510	341.211	50	10.7883
JGI_V11_PST130_P492967	462	293.43	0	0
JGI_V11_PST130_P488313	279	118.171	84	52.3329
JGI_V11_PST130_P491144	432	263.591	0	0
JGI_V11_PST130_P500947	804	634.781	4	0.463917
JGI_V11_PST130_P493370	399	230.98	326	103.908
JGI_V11_PST130_P499615	1506	1336.77	69	3.80012
JGI_V11_PST130_P503304	537	368.127	211	42.1978
JGI_V11_PST130_P494788	231	79.3548	0	0
JGI_V11_PST130_P504103	906	736.768	40	3.997
JGI_V11_PST130_P495319	2436	2266.77	178	5.7812
JGI_V11_PST130_P497124	294	131.258	0	0
JGI_V11_PST130_P491965	375	207.45	0	0
JGI_V11_PST130_P488308	666	496.818	3295	488.273
JGI_V11_PST130_P491674	2043	1873.77	46	1.80737
JGI_V11_PST130_P494706	576	407.004	0	0
JGI_V11_PST130_P488584	480	311.319	140	33.1076
JGI_V11_PST130_P493395	1491	1321.77	21	1.16968
JGI_V11_PST130_P490089	1782	1612.77	587	26.7961
JGI_V11_PST130_P500912	1266	1096.77	0	0
JGI_V11_PST130_P502633	1185	1015.77	240	17.3949
JGI_V11_PST130_P500952	318	153.132	0	0
JGI_V11_PST130_P488977	648	478.858	18	2.76739
JGI_V11_PST130_P488868	2169	1999.77	178	6.55307
JGI_V11_PST130_P488493	210	64.3095	0	0
JGI_V11_PST130_P487031	843	673.775	0	0
JGI_V11_PST130_P496079	1158	988.768	947	70.5116
JGI_V11_PST130_P491196	333	167.149	0	0
JGI_V11_PST130_P497923	675	505.813	5	0.727754
JGI_V11_PST130_P488821	633	463.862	0	0
JGI_V11_PST130_P489426	870	700.775	157	16.494
JGI_V11_PST130_P496630	747	577.781	1	0.127421
JGI_V11_PST130_P491775	861	691.775	161	17.1343
JGI_V11_PST130_P501425	2817	2647.77	29	0.806349
JGI_V11_PST130_P490238	474	305.337	0	0
JGI_V11_PST130_P490063	393	225.092	132	43.1737
JGI_V11_PST130_P503040	1023	853.768	255	21.989
JGI_V11_PST130_P493931	288	125.989	0	0
JGI_V11_PST130_P501267	279	118.171	215	133.947
JGI_V11_PST130_P498821	1794	1624.77	0	0
JGI_V11_PST130_P490212	504	335.235	0	0
JGI_V11_PST130_P489902	1302	1132.77	0	0
JGI_V11_PST130_P496900	741	571.781	0	0
JGI_V11_PST130_P494460	1602	1432.77	0	0
JGI_V11_PST130_P487409	459	290.442	0	0
JGI_V11_PST130_P498777	384	216.253	0	0
JGI_V11_PST130_P502392	1503	1333.77	0	0
JGI_V11_PST130_P497532	306	142.068	0	0
JGI_V11_PST130_P487727	654	484.843	90	13.6661
JGI_V11_PST130_P488299	1011	841.768	0	0
JGI_V11_PST130_P491334	240	86.2287	0	0
JGI_V11_PST130_P497313	642	472.858	83	12.9227
JGI_V11_PST130_P489001	1788	1618.77	0	0
JGI_V11_PST130_P504390	1446	1276.77	0	0
JGI_V11_PST130_P500016	1002	832.768	50	4.42029
JGI_V11_PST130_P493008	1122	952.768	251.049	19.3989
JGI_V11_PST130_P494101	1206	1036.77	1299	92.2428
JGI_V11_PST130_P501742	1038	868.768	60	5.08455
JGI_V11_PST130_P496689	801	631.781	472	55.0022
JGI_V11_PST130_P502088	1269	1099.77	457	30.5928
JGI_V11_PST130_P492731	681	511.803	635	91.343
JGI_V11_PST130_P501567	762	592.781	7993	992.705
JGI_V11_PST130_P504570	1290	1120.77	334	21.9399
JGI_V11_PST130_P487885	1113	943.768	81	6.31865
JGI_V11_PST130_P494206	534	365.134	1	0.201629
JGI_V11_PST130_P501964	639	469.858	25433	3985.07
JGI_V11_PST130_P486792	2010	1840.77	0	0
JGI_V11_PST130_P489455	480	311.319	4	0.94593
JGI_V11_PST130_P494973	1035	865.768	0	0
JGI_V11_PST130_P493976	936	766.768	0	0
JGI_V11_PST130_P502017	276	115.568	0	0
JGI_V11_PST130_P500300	1596	1426.77	854	44.0666
JGI_V11_PST130_P494435	477	308.328	0	0
JGI_V11_PST130_P491202	369	201.645	17.3187	6.32311
JGI_V11_PST130_P500412	1203	1033.77	59	4.20178
JGI_V11_PST130_P497467	420	251.727	3	0.877397
JGI_V11_PST130_P503043	831	661.775	0	0
JGI_V11_PST130_P492782	849	679.775	8	0.866422
JGI_V11_PST130_P498610	1911	1741.77	130	5.49487
JGI_V11_PST130_P493455	2637	2467.77	0	0
JGI_V11_PST130_P487534	699	529.798	20	2.77923
JGI_V11_PST130_P498631	264	105.395	14	9.7794
